ID,Name,Synonyms,SalesPrice,OriginalPrice,Rating,ProductLink,ImageLink,Availibility
Snapdeal_1,"Redmi 9 ( 64GB , 4 GB ) Black","Redmi 9 | Redmi 9 ( 64GB , 4 GB) | Redmi 9 Black",9499,10999.0,3.6,https://www.snapdeal.com/product/redmi-9-64gb-4-gb/646372370923#bcrumbLabelId:175,https://n2.sdlcdn.com/imgs/j/r/t/Redmi-9-64GB-4-GB-SDL649851775-1-1537a.jpg,Available
Snapdeal_2,"Xolo Era 2 ( 8GB , 1 GB ) Black","Xolo Era 2 | Xolo Era 2 ( 8GB , 1 GB) | Xolo Era 2 Black",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/5188147410095998352#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/h/h/d/1-31100.jpg,Sold out
Snapdeal_3,"Gionee s11 ( 32GB , 4 GB ) Black","Gionee s11 | Gionee s11 ( 32GB , 4 GB) | Gionee s11 Black",7000,15399.0,0.0,https://www.snapdeal.com/product/gionee-s11-32gb-4-gb/636807898611#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/j/s/0/Gionee-s11-32GB-4-GB-SDL288728047-1-84064.png,Available
Snapdeal_4,"Realme Narzo 20 ( 64GB , 4 GB ) Victory Blue","Realme Narzo 20 | Realme Narzo 20 ( 64GB , 4 GB) | Realme Narzo 20 Blue",11999,12999.0,4.0,https://www.snapdeal.com/product/realme-narzo-20-64gb-4/665892836468#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/r/o/Realme-Narzo-20-64GB-4-SDL337945507-1-f5568.jpeg,Available
Snapdeal_5,"Gionee s11 lite ( 32 GB , 4 GB ) Blue","Gionee s11 lite | Gionee s11 lite ( 32 GB , 4 GB) | Gionee s11 lite Blue",7004,8999.0,3.4,https://www.snapdeal.com/product/gionee-blue-s11-lite-32/5764608157785105335#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/i/f/r/Gionee-Blue-s11-lite-32-SDL695597010-1-47f88.jpeg,Available
Snapdeal_6,"Xolo Era 2 ( 8GB , 1 GB ) Pyramid Gold","Xolo Era 2 | Xolo Era 2 ( 8GB , 1 GB) | Xolo Era 2 Gold",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/6341068914702845328#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/h/h/d/1-1bfa8.jpg,Sold out
Snapdeal_7,"Realme C11 ( 32GB , 2 GB ) Grey","Realme C11 | Realme C11 ( 32GB , 2 GB) | Realme C11 Grey",8999,9999.0,4.6,https://www.snapdeal.com/product/realme-c11-32gb-2-gb/640079839402#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/f/p/Realme-C11-32GB-2-GB-SDL880168590-1-9d3a9.jpeg,Available
Snapdeal_8,"Redmi Note 10 ( 64GB , 4 GB ) Aqua Green","Redmi Note 10 | Redmi Note 10 ( 64GB , 4 GB) | Redmi Note 10 Green",13999,15999.0,0.0,https://www.snapdeal.com/product/redmi-note-10-64gb-4/8070451150792751601#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/s/m/Redmi-Note-10-64GB-4-SDL009655497-1-0d0cc.jpg,Available
Snapdeal_9,"Realme Narzo 10A ( 32GB , 3 GB ) Blue","Realme Narzo 10A | Realme Narzo 10A ( 32GB , 3 GB) | Realme Narzo 10A Blue",9803,10999.0,0.0,https://www.snapdeal.com/product/realme-narzo-10a-32gb-3/682371075796#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/f/c/Realme-Narzo-10A-32GB-3-SDL217157000-1-5eba1.jpeg,Available
Snapdeal_10,"Blackberry KEYONE ( 32 MB , 4 GB ) Black & Grey","Blackberry KEYONE | Blackberry KEYONE ( 32 MB , 4 GB) | Blackberry KEYONE Grey",23999,31999.0,3.0,https://www.snapdeal.com/product/blackberry-black-keyone-32-mb/6917529649199044221#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/g/t/d/Blackberry-Black-Grey-KEYONE-32-SDL364907883-1-f19ae.jpeg,Available
Snapdeal_11,"Samsung M02s ( 32GB , 3 GB ) Blue","Samsung M02s | Samsung M02s ( 32GB , 3 GB) | Samsung M02s Blue",9999,10499.0,0.0,https://www.snapdeal.com/product/samsung-m02s-32gb-3-gb/6917529706520383582#bcrumbLabelId:175,https://n2.sdlcdn.com/imgs/j/s/m/Samsung-M02s-32GB-3-GB-SDL291597116-1-d08b2.jpg,Available
Snapdeal_12,"Oppo A15s ( 64GB , 4 GB ) Silver","Oppo A15s | Oppo A15s ( 64GB , 4 GB) | Oppo A15s Silver",12990,13990.0,0.0,https://www.snapdeal.com/product/oppo-a15s-64gb-4-gb/5764608177391873536#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/j/s/t/Oppo-A15s-64GB-4-GB-SDL807548403-1-58e0e.jpg,Available
Snapdeal_13,"Realme XT ( 64GB , 6 GB ) White","Realme XT | Realme XT ( 64GB , 6 GB) | Realme XT White",17999,18999.0,0.0,https://www.snapdeal.com/product/realme-xt-64gb-6-gb/661600837444#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/i/t/2/Realme-XT-64GB-6-GB-SDL850761714-1-1a9fb.jpeg,Available
Snapdeal_14,"Redmi 9A ( 32GB , 2 GB ) Black","Redmi 9A | Redmi 9A ( 32GB , 2 GB) | Redmi 9A Black",7749,8999.0,4.3,https://www.snapdeal.com/product/redmi-9a-32gb-2-gb/6917529701857746477#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/i/1/Redmi-9A-32GB-2-GB-SDL962065231-1-8c0d1.jpg,Available
Snapdeal_15,"MI 11x 5G ( 128GB , 6 GB ) Black","MI 11x 5G | MI 11x 5G ( 128GB , 6 GB) | MI 11x 5G Black",30499,33999.0,0.0,https://www.snapdeal.com/product/mi-11x-5g-128gb-6/645527672600#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/j/s/u/MI-11x-5G-128GB-6-SDL631274231-1-060d4.jpg,Available
Snapdeal_16,"Realme Narzo 30A ( 32GB , 3 GB ) Blue","Realme Narzo 30A | Realme Narzo 30A ( 32GB , 3 GB) | Realme Narzo 30A Blue",9499,9999.0,0.0,https://www.snapdeal.com/product/realme-narzo-30a-32gb-3/639295906541#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/j/s/d/Realme-Narzo-30A-32GB-3-SDL263127531-1-6e348.jpg,Available
Snapdeal_17,"Samsung Galaxy M11 ( 64GB , 4 GB ) Blue","Samsung Galaxy M11 | Samsung Galaxy M11 ( 64GB , 4 GB) | Samsung Galaxy M11 Blue",11003,14999.0,3.0,https://www.snapdeal.com/product/samsung-galaxy-m11-64gb-4/655889303670#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/j/r/6/Samsung-Galaxy-M11-64GB-4-SDL630399095-1-1b2a0.jpeg,Available
Snapdeal_18,"Redmi 6A ( 16GB , 2 GB ) Black","Redmi 6A | Redmi 6A ( 16GB , 2 GB) | Redmi 6A Black",7004,7399.0,0.0,https://www.snapdeal.com/product/redmi-6a-16gb-2-gb/674659825952#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/s/c/Redmi-6A-16GB-2-GB-SDL994214561-1-b151a.jpg,Available
Snapdeal_19,"Samsung Galaxy M31 ( 128GB , 6 GB ) Black","Samsung Galaxy M31 | Samsung Galaxy M31 ( 128GB , 6 GB) | Samsung Galaxy M31 Black",18003,19999.0,0.0,https://www.snapdeal.com/product/samsung-galaxy-m31-128gb-6/670462998808#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/j/g/e/Samsung-Galaxy-M31-128GB-6-SDL405975940-1-8af9a.jpeg,Available
Snapdeal_20,"Redmi 9A ( 32GB , 2 GB ) Green","Redmi 9A | Redmi 9A ( 32GB , 2 GB) | Redmi 9A Green",7899,8499.0,4.3,https://www.snapdeal.com/product/redmi-9a-32gb-2-gb/8070451206464593453#bcrumbLabelId:175,https://n2.sdlcdn.com/imgs/j/o/i/Redmi-9A-32GB-2-GB-SDL880361485-1-8764b.jpeg,Available
Snapdeal_21,"Gionee s11 ( 32GB , 4 GB ) Black","Gionee s11 | Gionee s11 ( 32GB , 4 GB) | Gionee s11 Black",7000,15399.0,0.0,https://www.snapdeal.com/product/gionee-s11-32gb-4-gb/636807898611,https://n3.sdlcdn.com/imgs/j/s/0/Gionee-s11-32GB-4-GB-SDL288728047-1-84064.png,Available
Snapdeal_22,"Xolo Era 2 ( 8GB , 1 GB ) Pyramid Gold","Xolo Era 2 | Xolo Era 2 ( 8GB , 1 GB) | Xolo Era 2 Gold",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/6341068914702845328,https://n4.sdlcdn.com/imgs/h/h/d/1-1bfa8.jpg,Sold out
Snapdeal_23,"Redmi 9 ( 64GB , 4 GB ) Sporty Orange","Redmi 9 | Redmi 9 ( 64GB , 4 GB) | Redmi 9 Orange",9503,10999.0,4.3,https://www.snapdeal.com/product/redmi-9-64gb-4-gb/8070451197392499197,https://n4.sdlcdn.com/imgs/j/q/v/Redmi-9-64GB-4-GB-SDL739288936-1-73c5f.jpeg,Available
Snapdeal_24,"Oppo A31 ( 128GB , 6 GB ) White","Oppo A31 | Oppo A31 ( 128GB , 6 GB) | Oppo A31 White",12999,12999.0,0.0,https://www.snapdeal.com/product/oppo-a31-128gb-6-gb/5764608208615530194,https://n4.sdlcdn.com/imgs/j/s/u/Oppo-A31-128GB-6-GB-SDL401820187-1-ec2c9.jpg,Available
Snapdeal_25,"Realme Narzo 30A ( 32GB , 3 GB ) Blue","Realme Narzo 30A | Realme Narzo 30A ( 32GB , 3 GB) | Realme Narzo 30A Blue",9499,9999.0,0.0,https://www.snapdeal.com/product/realme-narzo-30a-32gb-3/639295906541,https://n3.sdlcdn.com/imgs/j/s/d/Realme-Narzo-30A-32GB-3-SDL263127531-1-6e348.jpg,Available
Snapdeal_26,"Xolo Era 2 ( 8GB , 1 GB ) Black","Xolo Era 2 | Xolo Era 2 ( 8GB , 1 GB) | Xolo Era 2 Black",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/5188147410095998352,https://n3.sdlcdn.com/imgs/h/h/d/1-31100.jpg,Sold out
Snapdeal_27,"Redmi 9A ( 32GB , 2 GB ) Black","Redmi 9A | Redmi 9A ( 32GB , 2 GB) | Redmi 9A Black",7749,8999.0,4.3,https://www.snapdeal.com/product/redmi-9a-32gb-2-gb/6917529701857746477,https://n1.sdlcdn.com/imgs/j/i/1/Redmi-9A-32GB-2-GB-SDL962065231-1-8c0d1.jpg,Available
Snapdeal_28,"INFINIX Hot 10 ( 64GB , 4 GB ) Moonlight Jade","INFINIX Hot 10 | INFINIX Hot 10 ( 64GB , 4 GB) | INFINIX Hot 10 Jade",10803,11999.0,0.0,https://www.snapdeal.com/product/infinix-hot-10-64gb-4/675277438920,https://n2.sdlcdn.com/imgs/j/r/0/INFINIX-Hot-10-64GB-4-SDL437333774-1-71e81.jpg,Available
Snapdeal_29,"Samsung M02s ( 32GB , 3 GB ) Blue","Samsung M02s | Samsung M02s ( 32GB , 3 GB) | Samsung M02s Blue",9999,10499.0,0.0,https://www.snapdeal.com/product/samsung-m02s-32gb-3-gb/6917529706520383582,https://n2.sdlcdn.com/imgs/j/s/m/Samsung-M02s-32GB-3-GB-SDL291597116-1-d08b2.jpg,Available
Snapdeal_30,"Samsung Galaxy M31 ( 128GB , 6 GB ) Black","Samsung Galaxy M31 | Samsung Galaxy M31 ( 128GB , 6 GB) | Samsung Galaxy M31 Black",18003,19999.0,0.0,https://www.snapdeal.com/product/samsung-galaxy-m31-128gb-6/670462998808,https://n3.sdlcdn.com/imgs/j/g/e/Samsung-Galaxy-M31-128GB-6-SDL405975940-1-8af9a.jpeg,Available
Snapdeal_31,"Redmi 9 ( 64GB , 4 GB ) Black","Redmi 9 | Redmi 9 ( 64GB , 4 GB) | Redmi 9 Black",9503,10999.0,4.3,https://www.snapdeal.com/product/redmi-9-64gb-4-gb/5188147435875381757,https://n2.sdlcdn.com/imgs/j/s/1/Redmi-9-64GB-4-GB-SDL901092064-1-734e4.jpeg,Available
Snapdeal_32,"Motorola E7 Plus ( 64GB , 4 GB ) Blue","Motorola E7 Plus | Motorola E7 Plus ( 64GB , 4 GB) | Motorola E7 Plus Blue",11003,12999.0,4.0,https://www.snapdeal.com/product/motorola-e7-plus-64gb-4/655047794917,https://n4.sdlcdn.com/imgs/j/r/e/Motorola-E7-Plus-64GB-4-SDL889289135-1-68494.jpg,Available
Snapdeal_33,"MI 11x 5G ( 128GB , 6 GB ) Black","MI 11x 5G | MI 11x 5G ( 128GB , 6 GB) | MI 11x 5G Black",30499,33999.0,0.0,https://www.snapdeal.com/product/mi-11x-5g-128gb-6/645527672600,https://n4.sdlcdn.com/imgs/j/s/u/MI-11x-5G-128GB-6-SDL631274231-1-060d4.jpg,Available
Snapdeal_34,"Samsung M02s ( 32GB , 3 GB ) Black","Samsung M02s | Samsung M02s ( 32GB , 3 GB) | Samsung M02s Black",9999,10499.0,0.0,https://www.snapdeal.com/product/samsung-m02s-32gb-3-gb/8070451211127230558,https://n1.sdlcdn.com/imgs/j/s/n/Samsung-M02s-32GB-3-GB-SDL393130982-1-d2c5e.jpg,Available
Snapdeal_35,"Oppo A15s ( 64GB , 4 GB ) Silver","Oppo A15s | Oppo A15s ( 64GB , 4 GB) | Oppo A15s Silver",12990,13990.0,0.0,https://www.snapdeal.com/product/oppo-a15s-64gb-4-gb/5764608177391873536,https://n4.sdlcdn.com/imgs/j/s/t/Oppo-A15s-64GB-4-GB-SDL807548403-1-58e0e.jpg,Available
Snapdeal_36,"Gionee s11 lite ( 32 GB , 4 GB ) Blue","Gionee s11 lite | Gionee s11 lite ( 32 GB , 4 GB) | Gionee s11 lite Blue",7004,8999.0,3.4,https://www.snapdeal.com/product/gionee-blue-s11-lite-32/5764608157785105335,https://n3.sdlcdn.com/imgs/i/f/r/Gionee-Blue-s11-lite-32-SDL695597010-1-47f88.jpeg,Available
Snapdeal_37,"Samsung Galaxy M11 ( 64GB , 4 GB ) Blue","Samsung Galaxy M11 | Samsung Galaxy M11 ( 64GB , 4 GB) | Samsung Galaxy M11 Blue",10999,14999.0,5.0,https://www.snapdeal.com/product/samsung-samsung-galaxy-m11-64gb/5764608147400678360,https://n2.sdlcdn.com/imgs/j/d/8/Samsung-Samsung-Galaxy-M11-64GB-SDL640495257-1-b3d14.jpeg,Available
Snapdeal_38,"INFINIX Hot 10 Play ( 64GB , 4 GB ) Green","INFINIX Hot 10 Play | INFINIX Hot 10 Play ( 64GB , 4 GB) | INFINIX Hot 10 Play Green",10999,10999.0,0.0,https://www.snapdeal.com/product/infinix-hot-10-play-64gb/8070451216034039121,https://n2.sdlcdn.com/imgs/j/s/y/INFINIX-Hot-10-Play-64GB-SDL475050058-1-7e8bc.png,Available
Snapdeal_39,"Redmi 9 Power ( 64GB , 4 GB ) Black","Redmi 9 Power | Redmi 9 Power ( 64GB , 4 GB) | Redmi 9 Power Black",11399,13999.0,4.3,https://www.snapdeal.com/product/redmi-9-power-64gb-4/6917529675684212900,https://n2.sdlcdn.com/imgs/j/r/6/Redmi-9-Power-64GB-4-SDL961566844-1-b0a59.jpeg,Available
Snapdeal_40,"Samsung Galaxy M11 ( 64GB , 4 GB ) Black","Samsung Galaxy M11 | Samsung Galaxy M11 ( 64GB , 4 GB) | Samsung Galaxy M11 Black",11003,14999.0,5.0,https://www.snapdeal.com/product/samsung-samsung-galaxy-m11-64gb/6917529652007525336,https://n1.sdlcdn.com/imgs/j/e/z/Samsung-Galaxy-M11-64GB-4-SDL741428330-1-f4c1f.jpeg,Available
Snapdeal_41,"Samsung Galaxy M31 ( 128GB , 6 GB ) Black","Samsung Galaxy M31 | Samsung Galaxy M31 ( 128GB , 6 GB) | Samsung Galaxy M31 Black",18003,19999.0,0.0,https://www.snapdeal.com/product/samsung-galaxy-m31-128gb-6/670462998808,https://n3.sdlcdn.com/imgs/j/g/e/Samsung-Galaxy-M31-128GB-6-SDL405975940-1-8af9a.jpeg,Available
Snapdeal_42,"Samsung Galaxy F02s ( 64GB , 4 GB ) Black","Samsung Galaxy F02s | Samsung Galaxy F02s ( 64GB , 4 GB) | Samsung Galaxy F02s Black",11299,11499.0,0.0,https://www.snapdeal.com/product/samsung-galaxy-f02s-64gb-4/6917529659665043716,https://n1.sdlcdn.com/imgs/j/s/f/Samsung-Galaxy-F02s-64GB-4-SDL762943059-1-39543.jpg,Available
Snapdeal_43,"INFINIX Hot 10 ( 64GB , 4 GB ) Moonlight Jade","INFINIX Hot 10 | INFINIX Hot 10 ( 64GB , 4 GB) | INFINIX Hot 10 Jade",10803,11999.0,0.0,https://www.snapdeal.com/product/infinix-hot-10-64gb-4/675277438920,https://n2.sdlcdn.com/imgs/j/r/0/INFINIX-Hot-10-64GB-4-SDL437333774-1-71e81.jpg,Available
Snapdeal_44,"Xolo Era 2 ( 8GB , 1 GB ) Black","Xolo Era 2 | Xolo Era 2 ( 8GB , 1 GB) | Xolo Era 2 Black",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/5188147410095998352,https://n3.sdlcdn.com/imgs/h/h/d/1-31100.jpg,Sold out
Snapdeal_45,"Xolo Era 2 ( 8GB , 1 GB ) Pyramid Gold","Xolo Era 2 | Xolo Era 2 ( 8GB , 1 GB) | Xolo Era 2 Gold",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/6341068914702845328,https://n4.sdlcdn.com/imgs/h/h/d/1-1bfa8.jpg,Sold out
Snapdeal_46,"Swipe Elite Pro ( 32GB , 3 GB ) White","Swipe Elite Pro | Swipe Elite Pro ( 32GB , 3 GB) | Swipe Elite Pro White",6990,,3.5,https://www.snapdeal.com/product/swipe-elite-pro-32gb/6917529688857288489,https://n1.sdlcdn.com/imgs/h/i/3/Swipe_Elite_Pro_32GB_3GB-6bba5.jpg,Sold out
Snapdeal_47,"I-Smart IS-204-Flip ( 128 MB , 256 MB ) Purple","I-Smart IS-204-Flip | I-Smart IS-204-Flip ( 128 MB , 256 MB) | I-Smart IS-204-Flip Purple",1184,,3.1,https://www.snapdeal.com/product/ismart-is204flip-128-mb-purple/6917529647941964418,https://n3.sdlcdn.com/imgs/e/d/p/I-Smart-IS-204-Flip-SDL698064073-1-147cf.jpg,Sold out
Snapdeal_48,"Nokia 3 ( 16GB , 2 GB ) Matte Black","Nokia 3 | Nokia 3 ( 16GB , 2 GB) | Nokia 3 Black",8303,,3.7,https://www.snapdeal.com/product/nokia-nokia-3-16gb/8646911943061116645,https://n4.sdlcdn.com/imgs/g/h/d/SDL804110145-c68db.jpg,Sold out
Snapdeal_49,"Redmi Note 10 ( 64GB , 4 GB ) Black","Redmi Note 10 | Redmi Note 10 ( 64GB , 4 GB) | Redmi Note 10 Black",14003,15999.0,0.0,https://www.snapdeal.com/product/redmi-note-10-64gb-4/6917529653601744988,https://n1.sdlcdn.com/imgs/j/s/n/Redmi-Note-10-64GB-4-SDL604565493-1-413d2.jpg,Available
Snapdeal_50,"Lenovo A6600D40 ( 16GB , 2 GB ) Black","Lenovo A6600D40 | Lenovo A6600D40 ( 16GB , 2 GB) | Lenovo A6600D40 Black",5512,,3.8,https://www.snapdeal.com/product/lenovo-a6600-plus-16gb-white/5188147405905959959,https://n4.sdlcdn.com/imgs/d/a/l/Lenovo-A6600-Plus-16GB-Black-SDL362118935-1-12705.jpg,Sold out
Snapdeal_51,"Swipe Konnect Grand ( 8GB , 1 GB ) Black","Swipe Konnect Grand | Swipe Konnect Grand ( 8GB , 1 GB) | Swipe Konnect Grand Black",2998,,3.4,https://www.snapdeal.com/product/swipe-konnect-grand-8gb-black/643354569318,https://n3.sdlcdn.com/imgs/e/9/g/Swipe-Konnect-Grand-8GB-Black-SDL740214486-1-1e8cd.jpg,Sold out
Snapdeal_52,"Motorola G10 Power ( 64GB , 4 GB ) Blue","Motorola G10 Power | Motorola G10 Power ( 64GB , 4 GB) | Motorola G10 Power Blue",12003,12999.0,0.0,https://www.snapdeal.com/product/motorola-g10-power-64gb-4/623701355831,https://n2.sdlcdn.com/imgs/j/s/q/Motorola-G10-Power-64GB-4-SDL266022278-1-ff75c.jpg,Available
Snapdeal_53,"Redmi Note 9 pro max ( 64GB , 6 GB ) Gold","Redmi Note 9 pro max | Redmi Note 9 pro max ( 64GB , 6 GB) | Redmi Note 9 pro max Gold",16499,18499.0,0.0,https://www.snapdeal.com/product/redmi-note-9-pro-max/8070451180120500996,https://n1.sdlcdn.com/imgs/j/s/p/Redmi-Note-9-pro-max-SDL892021472-1-8aead.jpg,Available
Snapdeal_54,"Redmi Note 10 ( 64GB , 4 GB ) Aqua Green","Redmi Note 10 | Redmi Note 10 ( 64GB , 4 GB) | Redmi Note 10 Green",14003,15999.0,0.0,https://www.snapdeal.com/product/redmi-note-10-64gb-4/8070451158208591964,https://n4.sdlcdn.com/imgs/j/s/n/Redmi-Note-10-64GB-4-SDL416012103-1-85817.jpg,Available
Snapdeal_55,"Intex Intex Aqua Style III ( 16GB , 1 GB ) Champagne","Intex Intex Aqua Style III | Intex Intex Aqua Style III ( 16GB , 1 GB) | Intex Intex Aqua Style III Champagne",4099,,3.6,https://www.snapdeal.com/product/intex-intex-aqua-style-iii/5764608165559132058,https://n2.sdlcdn.com/imgs/g/w/l/Intex-Aqua-Style-3-16GB-SDL520079859-1-13c2e.jpg,Sold out
